Timer	Command	Error
1.92	forward	None
2.02	forward	None
2.12	forward	None
2.22	forward	None
2.33	forward	None
2.43	forward	None
2.53	forward	None
2.63	forward	None
2.74	forward	None
2.84	forward	None
2.94	forward	None
3.04	forward	None
3.25	turn left	None
3.35	turn left	None
3.55	forward	None
3.66	forward	None
3.76	forward	None
3.96	turn left	None
4.06	turn left	None
4.17	turn left	None
4.27	turn left	None
4.37	turn left	None
4.47	turn left	None
4.58	turn left	None
4.68	turn left	None
4.78	turn left	None
4.88	turn left	None
4.99	turn left	None
5.09	turn left	None
5.20	turn left	None
5.30	turn left	None
5.40	turn left	None
5.51	turn left	None
5.61	turn left	None
5.82	forward	None
5.92	forward	None
6.03	forward	None
6.13	forward	None
6.24	forward	None
6.34	forward	None
6.45	forward	None
6.55	forward	None
6.65	forward	None
6.86	turn right slightly	None
6.96	turn right slightly	None
7.07	turn right slightly	None
7.17	turn right slightly	None
7.28	turn right slightly	None
7.38	turn right slightly	None
7.49	turn right slightly	None
7.59	turn right slightly	None
7.70	turn right slightly	None
7.80	turn right slightly	None
7.90	turn right slightly	None
8.01	turn right slightly	None
8.11	turn right slightly	None
8.32	forward	None
8.42	forward	None
8.53	forward	None
8.63	forward	None
8.73	forward	None
8.84	forward	None
8.94	forward	None
9.15	turn left slightly	None
9.25	turn left slightly	None
9.36	turn left slightly	None
9.46	turn left slightly	None
9.57	turn left slightly	None
9.67	turn left slightly	None
9.78	turn left slightly	None
9.88	turn left slightly	None
9.98	turn left slightly	None
10.09	turn left slightly	None
10.19	turn left slightly	None
10.30	turn left slightly	None
10.40	turn left	None
10.51	turn left	None
10.61	turn left	None
10.71	turn left	None
10.82	turn left	None
10.92	turn left	None
11.03	turn left	None
11.13	turn left	None
11.24	turn left	None
11.34	turn left	None
11.44	turn left	None
11.55	turn left	None
11.65	turn left	None
11.86	forward	None
11.96	forward	None
12.07	forward	None
12.17	forward	None
12.28	forward	None
12.38	forward	None
12.59	turn right slightly	None
12.69	turn right slightly	None
12.80	turn right slightly	None
12.90	turn right slightly	None
13.00	turn right slightly	None
13.21	forward	None
13.32	forward	None
13.42	forward	None
13.52	forward	None
13.63	forward	None
13.73	forward	None
13.84	forward	None
13.94	forward	None
14.04	forward	None
14.15	forward	None
14.36	turn left slightly	None
14.46	turn left slightly	None
14.57	turn left slightly	None
14.67	turn left slightly	None
14.77	turn left slightly	None
14.88	turn left slightly	None
14.98	turn left slightly	None
15.09	turn left slightly	None
15.19	turn left slightly	None
15.30	turn left slightly	None
15.62	turn left	None
15.72	turn left	None
15.82	turn left	None
15.93	turn left	None
16.03	turn left	None
16.24	forward	None
16.35	forward	None
16.55	turn left	None
16.66	turn left	None
16.76	turn left	None
16.86	turn left	None
16.97	turn left	None
17.07	turn left	None
17.18	turn left	None
17.28	turn left	None
17.38	turn left	None
17.49	turn left	None
17.59	turn left	None
17.80	forward	None
17.90	forward	None
18.01	forward	None
18.11	forward	None
18.22	forward	None
18.32	forward	None
18.53	turn left slightly	None
18.63	turn left slightly	None
18.73	turn left slightly	None
18.84	turn left slightly	None
19.04	forward	None
19.15	forward	None
19.25	forward	None
19.36	forward	None
19.46	forward	None
19.56	forward	None
19.67	forward	None
